Week,State,Sum of Amount_Previous_year,Sum of dine_in_Previous_year
3/16/20,AR,850798.51,670547.1
3/16/20,AZ,3615674.32,3348132.8
3/16/20,CA,49360084.5,39876464.76
3/16/20,CO,7874779.1,6760447.19
3/16/20,CT,6631435.96,5525302.21
3/16/20,DC,4581119.94,4131033.09
3/16/20,DE,805145.56,668610.78
3/16/20,FL,28229161.34,24644174.73
3/16/20,GA,3136205.81,2719367.5
3/16/20,IA,1036317.23,905527.9
3/16/20,ID,700273.6,665062.79
3/16/20,IL,18657455.06,16243220.87
3/16/20,IN,4365152.04,3767764.12
3/16/20,KS,927619.26,790385.27
3/16/20,KY,3072753.13,2787590.42
3/16/20,LA,4208661.02,3905283.79
3/16/20,MA,24968903.93,21068023.46
3/16/20,MD,7525588.37,6313793.75
3/16/20,ME,2040947.81,1713184.72
3/16/20,MI,10075269.63,8348782.74
3/16/20,MN,2332369.1,2088334.9
3/16/20,MO,4481191.95,3977153.87
3/16/20,MS,1337677.92,1266173.95
3/16/20,MT,660867.67,609081.94
3/16/20,NC,4902171.7,4254918.08
3/16/20,NE,1029218.63,909721.29
3/16/20,NH,1706888.06,1362174.86
3/16/20,NJ,4948771.48,3854369.9
3/16/20,NM,942052.3,842235.51
3/16/20,NV,3136073.26,2707497.81
3/16/20,NY,27781794.43,23018104.22
3/16/20,OH,12071099.31,9575995.83
3/16/20,OK,1880711.47,1539600.85
3/16/20,OR,3982152.33,3598228.36
3/16/20,PA,9410220.65,8120912.63
3/16/20,RI,2169867.49,1879416.25
3/16/20,SC,3013384.66,2730640.83
3/16/20,TN,5297760,4821299.99
3/16/20,TX,23295890.76,20507137.92
3/16/20,UT,3026457.99,2533803.77
3/16/20,VA,7565396.75,6726811.28
3/16/20,VT,895455.51,814629.89
3/16/20,WA,8860564.51,8130493.2
3/16/20,WI,3203548.84,2923995.52
3/16/20,WV,425538.22,296642.27
3/23/20,AL,1185236.74,1088346.51
3/23/20,AR,844940.99,645106.98
3/23/20,AZ,3475511.37,3196626.81
3/23/20,CA,49989439.02,40291446.32
3/23/20,CO,7687532.52,6605932.09
3/23/20,CT,6738167.47,5591846.56
3/23/20,DC,4994877.43,4545911.58
3/23/20,DE,804484.29,668047.94
3/23/20,FL,28138473.64,24532671.76
3/23/20,GA,3031111.35,2608405.36
3/23/20,IA,1068232.99,938870.25
3/23/20,ID,670878.15,637921.91
3/23/20,IL,18724748.38,16363847.99
3/23/20,IN,4373910.65,3779430.51
3/23/20,KS,921855.74,789433.27
3/23/20,KY,3072626.92,2780905.76
3/23/20,LA,4048475.56,3739108.36
3/23/20,MA,26124216.96,21999202.33
3/23/20,MD,7757459.8,6512280.54
3/23/20,ME,2018473.6,1692751.32
3/23/20,MI,9996133.75,8265703.81
3/23/20,MN,2440473.35,2209931.89
3/23/20,MO,4438150.14,3884296.09
3/23/20,MS,1324987.52,1250482.81
3/23/20,MT,668781.06,610822.03
3/23/20,NC,4995150.69,4314431.2
3/23/20,NE,1053414.86,935714.2
3/23/20,NH,1725105.2,1372376.88
3/23/20,NJ,5141008.61,4014021.79
3/23/20,NM,922043.05,825659
3/23/20,NV,3162318.89,2725154.46
3/23/20,NY,28064785.22,23156512.4
3/23/20,OH,12256440.08,9747718.36
3/23/20,OK,1846713.02,1493371.56
3/23/20,OR,4063752.21,3682529.54
3/23/20,PA,9441763.71,8118465.88
3/23/20,RI,2233051.91,1932476.99
3/23/20,SC,3159836.04,2881548.22
3/23/20,TN,5533664.91,5038762.1
3/23/20,TX,23910742.19,20993625.8
3/23/20,UT,3052735.14,2570448.09
3/23/20,VA,7939093.27,7109683.52
3/23/20,VT,873193.24,795025.48
3/23/20,WA,8873905.87,8151903.89
3/23/20,WI,3465483.71,3175940.8
3/23/20,WV,426197.45,293958.28
3/30/20,AL,1057073.26,963934.43
3/30/20,AR,853750.03,658130.17
3/30/20,AZ,3301476.05,3033888.07
3/30/20,CA,48353568.2,38855122.51
3/30/20,CO,7440519.4,6373744.61
3/30/20,CT,6766369.47,5600891.26
3/30/20,DC,5145353.26,4688013.14
3/30/20,DE,782770.01,647321.89
3/30/20,FL,26476853.77,22966185.49
3/30/20,GA,3084073.64,2674646.51
3/30/20,IA,1039938.12,917589.33
3/30/20,ID,679329.66,639154.88
3/30/20,IL,18828142.74,16396583.63
3/30/20,IN,4419355.34,3830546.16
3/30/20,KS,934331.53,805013.78
3/30/20,KY,2898931.07,2634337.77
3/30/20,LA,3908154.26,3603003.13
3/30/20,MA,26335336.1,22199107.26
3/30/20,MD,7900749.21,6656894.82
3/30/20,ME,2020279.33,1692373.93
3/30/20,MI,10126623.22,8433004.47
3/30/20,MN,2421196.72,2185088.95
3/30/20,MO,4498279.77,3942073.1
3/30/20,MS,1209329.45,1134623.93
3/30/20,MT,602604.46,550628.9
3/30/20,NC,4893752.1,4221332.92
3/30/20,NE,965149.51,855220.97
3/30/20,NH,1739023.66,1380138.65
3/30/20,NJ,5192520.19,4059407.77
3/30/20,NM,929164.88,830371.69
3/30/20,NV,3033342.14,2613573.77
3/30/20,NY,28838090.32,23752368.48
3/30/20,OH,12533256.92,9907139.53
3/30/20,OK,1841873.69,1499167.6
3/30/20,OR,3852572.69,3471868.15
3/30/20,PA,9484992.78,8176764.93
3/30/20,RI,2245182.73,1940834.79
3/30/20,SC,3131971.87,2856760.42
3/30/20,TN,5308470.74,4820296.63
3/30/20,TX,22836168.88,20070595.78
3/30/20,UT,2923398.94,2485403.47
3/30/20,VA,7855256.16,7060142.7
3/30/20,VT,796733.34,720526.61
3/30/20,WA,8362206.75,7673542.23
3/30/20,WI,3240115.29,2947673.86
3/30/20,WV,425947.3,296808.15
4/6/20,AL,1165744.22,1074259.22
4/6/20,AR,832348.23,641626.21
4/6/20,AZ,3079801.1,2801343.01
4/6/20,CA,48430601.82,38753618.17
4/6/20,CO,6936545.83,5868516.88
4/6/20,CT,6560837.66,5414726.02
4/6/20,DC,4899246.79,4451536.94
4/6/20,DE,792423.18,649848.93
4/6/20,FL,25450899.07,21987545.34
4/6/20,GA,2925853.56,2504769.47
4/6/20,IA,1078627.86,956719.67
4/6/20,ID,676555.62,639401.99
4/6/20,IL,18872725.08,16411561.58
4/6/20,IN,4628790.74,4029810.48
4/6/20,KS,947695.46,816142.82
4/6/20,KY,3029931.4,2755334.22
4/6/20,LA,3783906.02,3487450.05
4/6/20,MA,26445110.98,22244501.58
4/6/20,MD,7698283.01,6459927.26
4/6/20,ME,1969799.18,1650916.86
4/6/20,MI,10152347.43,8429942.4
4/6/20,MN,2276345.56,2041468.73
4/6/20,MO,4450387.3,3888428.59
4/6/20,MS,1127099.45,1056972.29
4/6/20,MT,614551.52,566861.2
4/6/20,NC,4783285.45,4111969.47
4/6/20,NE,960645.33,855834.87
4/6/20,NH,1698905.8,1338355.68
4/6/20,NJ,5124681.04,3948631.27
4/6/20,NM,937352.82,837993.34
4/6/20,NV,3038143.27,2613136.12
4/6/20,NY,28744047.4,23724855.14
4/6/20,OH,12433938,9787250.44
4/6/20,OK,1792451.14,1439850.46
4/6/20,OR,3864267.54,3472850.44
4/6/20,PA,9540269.71,8219900.38
4/6/20,RI,2306437.38,2000254.29
4/6/20,SC,3024732.54,2744412.38
4/6/20,TN,5153814.8,4651677.24
4/6/20,TX,23586229.35,20550250.93
4/6/20,UT,2888632.35,2418940.23
4/6/20,VA,7757552.22,6911598.62
4/6/20,VT,810478.66,739041.31
4/6/20,WA,8166189.17,7498033.03
4/6/20,WI,3221385.71,2923294.96
4/6/20,WV,399849.07,273725.94
4/13/20,AL,1021696.12,939001.38
4/13/20,AR,798160.99,613526.64
4/13/20,AZ,3025382.97,2763639.29
4/13/20,CA,47854803.2,38130037.44
4/13/20,CO,7051625.22,6043671.1
4/13/20,CT,6454394.53,5372134.03
4/13/20,DC,4642297.44,4236701.48
4/13/20,DE,752182.67,627330.91
4/13/20,FL,25817166.31,22306096.85
4/13/20,GA,2880622.55,2460241.17
4/13/20,IA,990991.82,871970.55
4/13/20,ID,680682.12,638739.09
4/13/20,IL,18603936.8,16161647.42
4/13/20,IN,4221410.15,3674105.45
4/13/20,KS,883607.26,765210.09
4/13/20,KY,2990395.48,2725096.93
4/13/20,LA,3701052.76,3418993.66
4/13/20,MA,25937426.9,21957523.03
4/13/20,MD,7727578.88,6543510.46
4/13/20,ME,2137744,1819278.79
4/13/20,MI,9839306.48,8237706.64
4/13/20,MN,2426039.8,2189892.87
4/13/20,MO,4189377.46,3650795.98
4/13/20,MS,1248434.75,1176820.48
4/13/20,MT,622194.7,572586.9
4/13/20,NC,4762382.42,4151618.9
4/13/20,NE,885093.79,784105.79
4/13/20,NH,1636314.38,1290477.49
4/13/20,NJ,4883129.57,3836108.84
4/13/20,NM,874293.65,787669.62
4/13/20,NV,2955582.67,2555112.73
4/13/20,NY,28196031.04,23563483.39
4/13/20,OH,11549718.71,9082104.03
4/13/20,OK,1642094.16,1331376.52
4/13/20,OR,3864010.12,3492977.83
4/13/20,PA,8989177.63,7795464.84
4/13/20,RI,2228553.74,1939479.91
