"State","Date","Date.Week","Amount_2019_weekly","Amount_2020_weekly","Dine_In_2019_weekly","Dine_In_2020_weekly","Off_Prem_2019_weekly","Off_Prem_2020_weekly","Dine_In_2020_weekly_pct","Off_Prem_2020_weekly_pct","Province_State","confirmed","deaths","population","confirmed.add_weekly","deaths.add_weekly","recreation_mob_weekly","residential_mob_weekly","Density","Urbanization.rate","DJUSRU","DJUSRU.t1","DJUSRU.t2","DJUSRU.t3","DJUSRU.t4","DJUSRU.t5","DJUSRU.t6"
"AR",2020-07-06,2020-07-05,123678.378571429,102177.142857143,97230.9871428571,62582.1957142857,26447.3914285714,39594.9471428571,0.612487235053968,0.387512764946032,"Arkansas",24253,292,3017804,650.428571428571,4.85714285714286,-4,6.14285714285714,58.403,0.562,1753.87,1733.8,1735.17,1782.18,1833.02,1830.86,1776.37
"AR",2020-07-13,2020-07-12,123692.752857143,102838.591428571,96247.8985714286,62977.5571428571,27444.8542857143,39861.0342857143,0.612392257303519,0.387607742696481,"Arkansas",28939,323,3017804,694.428571428571,5.14285714285714,-3.2,7.4,58.403,0.562,1779.88,1753.87,1733.8,1735.17,1782.18,1833.02,1830.86
"AZ",2020-02-17,2020-02-16,451250.47,498831.23,402597.728571429,454926.652857143,48652.7414285714,43904.5771428571,0.911985107382196,0.0880148926178041,"Arizona",1,0,7278717,0.142857142857143,0,3.71428571428571,1.14285714285714,64.9549,0.898,2039.15,2022.36,1993.68,1997.57,2032.01,2004.8,1967.95
"AZ",2020-02-24,2020-02-23,494857.97,509196.794285714,451320.837142857,464042.671428571,43537.1328571429,45154.1228571429,0.911322845383417,0.0886771546165833,"Arizona",1,0,7278717,0,0,7.57142857142857,-0.857142857142857,64.9549,0.898,1904.53,2039.15,2022.36,1993.68,1997.57,2032.01,2004.8
"AZ",2020-03-02,2020-03-01,485819.852857143,498445.865714286,448391.078571429,452740.697142857,37428.7742857143,45705.1685714286,0.908304649079731,0.0916953509202687,"Arizona",1,0,7278717,0.428571428571429,0,7.57142857142857,-1.14285714285714,64.9549,0.898,1827.97,1904.53,2039.15,2022.36,1993.68,1997.57,2032.01
"AZ",2020-03-09,2020-03-08,527412.59,427258.021428571,489332.475714286,384861.412857143,38080.1142857143,42396.6085714286,0.900770479557828,0.0992295204421724,"Arizona",4,0,7278717,1.14285714285714,0,2.71428571428571,2.28571428571429,64.9549,0.898,1631.21,1827.97,1904.53,2039.15,2022.36,1993.68,1997.57
"AZ",2020-03-16,2020-03-15,516524.902857143,167884.631428571,478304.685714286,116868.132857143,38220.2171428571,51016.4985714286,0.696121687034026,0.303878312965974,"Arizona",18,0,7278717,20,0.285714285714286,-22.1428571428571,10,64.9549,0.898,1301.34,1631.21,1827.97,1904.53,2039.15,2022.36,1993.68
"AZ",2020-03-23,2020-03-22,496501.624285714,132587.405714286,456660.972857143,71991.0971428572,39840.6514285714,60596.3085714286,0.542970855753764,0.457029144246237,"Arizona",235,2,7278717,109.571428571429,2.14285714285714,-35.5714285714286,14.1428571428571,64.9549,0.898,1441.38,1301.34,1631.21,1827.97,1904.53,2039.15,2022.36
"AZ",2020-03-30,2020-03-29,471639.435714286,128740.68,433412.581428571,68924.1571428571,38226.8542857143,59816.5228571429,0.535372014058471,0.464627985941529,"Arizona",1157,20,7278717,192.857142857143,6.71428571428571,-37.7142857142857,15.4285714285714,64.9549,0.898,1448.35,1441.38,1301.34,1631.21,1827.97,1904.53,2039.15
"AZ",2020-04-06,2020-04-05,439971.585714286,132226.582857143,400191.858571429,71862.1114285714,39779.7271428571,60364.4714285714,0.54347703673331,0.456522963266691,"Arizona",2460,65,7278717,181.857142857143,8.71428571428571,-41.4285714285714,16.2857142857143,64.9549,0.898,1604.6,1448.35,1441.38,1301.34,1631.21,1827.97,1904.53
"AZ",2020-04-13,2020-04-12,432197.567142857,152106.305714286,394805.612857143,83194.2,37391.9542857143,68912.1057142857,0.54694773901268,0.45305226098732,"Arizona",3705,132,7278717,198.714285714286,8.42857142857143,-36.4285714285714,15.5714285714286,64.9549,0.898,1647.63,1604.6,1448.35,1441.38,1301.34,1631.21,1827.97
"AZ",2020-04-20,2020-04-19,447811.425714286,155576.095714286,410311.605714286,85757.2414285714,37499.82,69818.8542857143,0.551223766317314,0.448776233682687,"Arizona",5068,191,7278717,228.714285714286,13,-35.4285714285714,15.1428571428571,64.9549,0.898,1685.4,1647.63,1604.6,1448.35,1441.38,1301.34,1631.21
"AZ",2020-04-27,2020-04-26,453274.122857143,157202.09,415030.045714286,85392.3885714286,38244.0771428571,71809.7014285714,0.543201356746775,0.456798643253225,"Arizona",6725,275,7278717,300.857142857143,12.4285714285714,-32.1428571428571,13.2857142857143,64.9549,0.898,1733.53,1685.4,1647.63,1604.6,1448.35,1441.38,1301.34
