Security,MCD US Equity ,,SBUX US Equity,,YUM US Equity,,CMG US Equity,,QSR US Equity,,YUMC US Equity,,DRI  US Equity,,DPZ  US Equity,,DNKN  US Equity,,WEN US Equity,,CAKE US Equity,
Start Date,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,2011/10/1,,40817,
End Date,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,2020/6/19,,44001,
Period,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,
Currency,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,
,,,,,,,,,,,,,,,,,,,,,,
Date,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME
2015/9/24,97.29,4138791,58.37,10027330,56.3163,3047634,731.17,405629,37.25,648729,,,63.9871,1673959,110.29,383929,47.89,554224,9,2694178,54.99,328173
2015/9/23,97.38,3035339,57.79,6829205,56.7478,2681320,731.57,213014,37.61,323321,,,63.6737,2611839,110.97,177305,48.41,601796,9.02,1823569,54.84,291900
2015/9/22,97.2,6254535,57.12,8585093,57.021,3661390,726.97,354243,37.64,648434,,,62.4022,3037149,110.87,299923,47.99,1398467,9.04,2385514,54.63,574951
2015/9/21,97.9,4543492,57.54,6220131,57.8335,3671336,731.19,325385,37.97,699825,,,62.9216,2023276,111.03,358654,48.25,1105200,9.05,3835611,54.24,414911
2015/9/18,97.05,10492672,56.84,16268035,57.6322,5465659,729.48,521953,36.69,628471,,,62.1963,4059310,111.68,594940,47.83,2024617,9.1,5537947,53.64,687619
2015/9/17,97.84,7954984,57.28,7525349,59.6599,3748042,730.2,285118,37.46,550066,,,62.9305,2774540,112.6,386868,47.8,1179431,9.07,3844469,53.98,714707
2015/9/16,98.69,5198679,57.26,6593362,59.7318,2660567,730.01,308734,37.03,343639,,,62.0799,2377319,111.62,339056,47.77,1754561,9.08,4972633,54.14,695993
2015/9/15,98.19,5142633,56.91,6741341,59.2644,2298032,732.08,296128,37.22,598599,,,62.7156,2089672,111.82,638133,47.57,940481,9.07,6450600,54.68,458093
2015/9/14,96.97,4557201,56.29,5464463,58.2074,1830697,726.8,267746,36.98,360248,,,62.8589,1513641,110.29,262811,47.7,1056604,9.18,4028901,54.24,211553
2015/9/11,97.41,6656255,56.53,8363110,58.5526,2716647,729.06,644230,37.37,945314,,,62.8947,1294001,110.22,304616,47.82,1767717,9.23,4202290,54.35,240160
2015/9/10,95.25,6210823,55.37,8924778,57.4524,3161480,723.19,220703,37.35,832116,,,62.3843,1124469,107.93,384549,47.43,2229624,9.02,5916639,53.62,322813
2015/9/9,95.43,5129373,54.69,8406656,58.2578,3260295,718.83,340339,38.18,1082128,,,61.7486,1232765,108.18,561888,48.05,2312818,9.1,4205604,53.78,425583
2015/9/8,96.78,5771063,55.21,8051710,58.7899,3133350,732.14,241849,37.93,676382,,,63.0559,1510761,109,455690,49.44,733902,9.19,4379607,54.03,367958
2015/9/4,94.85,4429092,54.28,6994267,56.7262,2121527,719.23,293880,37.54,827314,,,61.5874,1478635,105.5,496170,48.84,783239,9.08,3171848,53.45,405748
2015/9/3,96.01,6313887,54.69,7968868,57.6825,1817721,724.99,298138,38.03,1038564,,,61.9724,1702276,105.15,303670,48.93,1576501,9.01,5330075,53.51,357498
2015/9/2,96.04,6908059,55.26,9891071,57.7185,3339387,723.87,374277,37.41,1453367,,,61.7486,1683304,105.18,454203,48.85,2211705,9.02,6734594,53.65,596509
2015/9/1,93.47,7308379,53.5,13424932,56.8772,4485778,706.71,409452,37.31,1102918,,,60.0562,1607290,103.85,812727,49.44,2665008,8.93,5769207,52.74,1286033
2015/8/31,95.02,5086647,54.71,7971204,57.359,3223429,710.01,464738,38.34,1107609,,,60.8979,916358,105.94,330490,50.16,1291759,9.11,4222500,54.27,806430
2015/8/28,96.25,5606013,55.63,7584826,58.833,2925342,721.2,235584,39.56,919917,,,61.8292,1114475,108.41,255160,51.69,1068706,9.22,2498448,55.52,994116
2015/8/27,97.33,10187067,55.95,15987923,59.1566,5252774,727.17,583845,39.85,1437453,,,61.6501,1729098,107.8,328161,51.53,1190031,9.3,5205129,55.22,770224
2015/8/26,95.15,16439804,53.96,15517591,57.2942,4562251,707.64,732348,38.77,1329304,,,61.0322,1646313,106.3,572468,50.85,1301529,9,6178579,53.84,660790
2015/8/25,91.21,11468798,51.09,19659002,54.72,6327698,695.39,696527,37.11,987663,,,59.8324,1810860,105.02,1039181,49.88,1821198,8.99,6680628,52.95,705889
2015/8/24,92.87,15074780,50.34,27158813,55.5038,10431594,704.25,842769,37.59,1346150,,,59.7876,2919362,101.78,736446,49.51,3653226,9,14467573,52.42,1162751
2015/8/21,97.13,10979952,52.84,20211503,57.3086,8754277,720.01,706666,39.43,1299030,,,62.841,1452470,104.48,891161,49.88,2012481,9.155,4752247,53.97,724947
2015/8/20,99.76,6668035,55.81,7470885,58.833,7727940,735.15,450134,40.6,1635600,,,64.1214,1407515,107.66,569851,50.03,1954141,9.26,5302422,55.21,366948
2015/8/19,101.1,5988961,57.59,6044193,61.9034,9958406,745.28,280830,42.61,625996,,,64.7124,1342443,110.53,751856,51.05,2612324,9.65,5054103,55.98,495386
2015/8/18,100.76,4257289,57.83,5575441,60.5444,4528381,745.92,410363,42.29,1111841,,,64.1214,1083876,112.9,320014,51.37,1074876,9.78,6443885,56.49,382117
2015/8/17,100.66,5204060,57.74,5768362,61.1412,6031301,754.03,272288,43.22,471976,,,64.9811,844352,114.99,295909,52.54,573641,10.09,2435902,57.3,306424
2015/8/14,99.27,3185582,57.1,4803903,60.1057,3749450,748.34,241993,42.6,373087,,,64.802,863677,114.17,239408,52.43,436341,9.96,1952090,57.1,326150
2015/8/13,99.37,4636402,56.85,6731474,60.2567,7852423,743.6,223298,42.52,553239,,,64.4259,845667,114.2,333316,52.31,796205,10.03,3860022,57.07,618958
2015/8/12,98.28,4207236,56.38,10075571,58.0133,11902956,745.98,447856,42.09,961462,,,63.3245,1259566,111.88,412245,52.11,1381808,9.99,6541281,56.43,524041
2015/8/11,98.81,3584996,56.35,8062553,60.0698,9654905,745.66,461122,42.59,609111,,,63.5484,1139102,113.49,556537,52.05,1722874,9.72,3972423,56.41,736876
2015/8/10,99.39,3994544,56.27,12029150,63.1473,1289210,744.24,434844,42.75,570472,,,63.6737,754399,113.14,295020,52.68,1023143,9.81,3323646,55.58,843940
2015/8/7,98.92,3463672,57.2,7781995,62.9963,1442424,749.12,386150,42.86,923800,,,64.2647,1431688,113.43,416295,53.35,728026,9.82,4369316,56.52,612679
2015/8/6,99.35,6740241,57.23,11064470,63.1114,2037720,749.6,405687,43.07,720600,,,63.3962,2769222,111.84,482251,53.72,1006551,9.96,7184552,56.57,727839
2015/8/5,99.8,3560581,59.01,7349063,64.0246,1395155,757.77,533888,43.91,860181,,,67.0764,1160078,114.4,400644,54.35,1123414,10.11,5851204,58.17,406848
2015/8/4,99.14,2842075,58.7,9113083,63.4134,1403772,748.09,399531,43.55,586038,,,66.2526,909613,115.23,354783,54.27,1171236,10.29,4449288,58.15,576661
2015/8/3,99.42,4427299,58.19,7664002,63.1473,1493552,743.04,453770,43.14,739602,,,66.1809,1045222,114.27,337142,55.18,1055723,10.29,3935162,57.54,647422
2015/7/31,99.86,7646980,57.93,6519528,63.1042,1433606,742.23,386647,43.24,662075,,,66.0466,1161929,113.84,366146,53.89,1078528,10.26,6978945,57.74,650154
2015/7/30,99.17,5372529,58.06,7337948,63.2912,1397128,744.16,441770,42.95,820768,,,66.0824,1094896,113.84,295122,54.02,763485,10.24,4301898,57.74,752627
2015/7/29,98.21,6006535,57.51,8470512,63.1114,2109107,738.42,595424,42.85,1044377,,,65.5273,1212184,113.51,436536,54.05,969297,10.38,2918643,56.87,807951
2015/7/28,97.33,4862990,57.14,8689215,62.5218,2002782,730.78,433947,42.75,1445362,,,64.8557,1099308,111.77,371433,53.76,757666,10.24,5824021,56.33,652863
2015/7/27,96.04,5818602,56.98,8993523,61.8243,3746263,731.44,712736,41.5,3376907,,,64.7482,1204992,111.31,452931,53.4,955863,10.06,2809214,55.91,630065
2015/7/24,96.1,5554624,57.29,14559687,62.3492,2658371,728.79,591009,40.09,1167879,,,65.4288,1713165,110.96,530843,53.82,1183808,10.15,2526778,55.72,772693
2015/7/23,97.09,10380706,56.56,12439229,63.1473,3497510,725.94,1058957,39.5,619161,,,67.0405,1881474,111.65,467507,53.75,4597010,10.26,2343821,56.48,2356734
2015/7/22,97.58,5392596,56.69,6876059,64.2187,3214898,725.82,3033888,39.97,768269,,,66.7898,2445267,112.31,608631,56.53,2213282,10.39,4085416,55.12,1625737
2015/7/21,97.32,4206703,56.2,6717452,63.7226,2256723,673.07,1681197,39.23,755800,,,65.375,1011158,111.37,536075,55.44,1157637,10.27,2568589,54.13,549398
2015/7/20,97.49,4947041,56.21,8029646,63.3702,2241958,678,972920,40.06,698309,,,65.3213,1046779,111.04,762342,55.54,1490324,10.26,3140864,53.85,656172
2015/7/17,97.5,6429758,55.69,8715431,63.1905,3749456,661.95,561132,40.84,738097,,,64.999,753655,110.04,2245486,54.98,1329332,10.23,4044193,53.54,584894
2015/7/16,97.86,7696176,55.74,7305520,63.4565,3756279,658.46,777628,40.19,1058546,,,65.3213,1375298,115.57,1306755,55.23,775403,10.35,3087921,53.92,708507
2015/7/15,99.07,7572526,55.34,8212573,63.9095,9871158,661.19,569275,39.76,563559,,,63.9245,755762,118.54,548343,55.52,887521,10.41,3625346,54.29,585334
2015/7/14,98.78,5746119,55.75,7028025,66.1458,5834076,655.46,597676,40.18,540534,,,64.7751,1147063,118.79,536755,55.73,1403434,10.46,4461735,54.66,554275
2015/7/13,98.43,4578676,55.7,7477170,65.513,4241369,658,725531,40.54,1085785,,,64.802,1292612,119.43,703492,56.58,1173432,10.54,8910051,54.97,712538
2015/7/10,97.65,5179204,54.57,8087800,65.3333,5004146,639.42,784925,38.84,733334,,,64.6139,649324,115.92,345633,55.27,1192222,10.44,6827669,54.18,508828
2015/7/9,96.49,5482465,54.05,7681013,63.2696,5237849,627.16,821204,38.18,648190,,,64.0767,1916614,113.69,599461,54.37,1720901,10.46,3246575,53.72,439515
2015/7/8,95.84,4914297,53.39,8139303,62.644,7799936,612.85,522384,38.71,877531,,,63.432,1150594,113.24,424767,55.38,1312224,10.49,4113906,53.97,706222
2015/7/7,96.68,4794388,54.375,9462256,64.6358,6463459,620.56,593049,39.81,980872,,,64.5602,1671697,113.42,445071,56.275,2004388,10.6,5035613,54.385,475138
2015/7/6,95.65,3852466,54.305,5396439,65.1966,2348325,607.17,535774,39.14,915085,,,63.2977,1548825,113.13,412025,55.56,1510358,10.63,6513592,53.74,493793
2015/7/2,96.17,3250897,54.24,5684667,65.8294,2018034,609.56,340190,39.52,1103803,,,62.9574,1459795,113.88,295780,55.27,1012924,10.79,7097692,53.88,556129
2015/7/1,95.76,4446181,53.89,6107698,65.9301,3079221,606.57,237637,39.54,1375505,,,62.8768,1997681,114.55,381878,55,1473927,10.88,26646675,53.7,945842
2015/6/30,95.07,6656019,53.615,9793969,64.7724,2865336,604.99,376062,38.21,1263435,,,63.6469,1806363,113.4,558530,55,1568719,11.28,18566752,54.535,414201
2015/6/29,95.44,8412817,53.55,6534077,64.4344,3340508,600.05,372986,37.97,1023016,,,63.7543,2239375,114,734243,54.97,1626729,11.2,16011216,54.17,332050
2015/6/26,97.29,6039506,54.62,6637183,66.6923,2159904,609.46,259525,38.99,9173722,,,65.3303,3065651,114.9,878035,55.48,1387796,11.35,7080715,55.33,807489
2015/6/25,95.79,4322309,54.07,5389863,65.7072,2404454,607.38,248736,38.08,1426173,,,63.7812,1706722,111.72,590022,54.6,1146782,11.43,10819080,54.79,377901
2015/6/24,96.64,3927133,53.71,5524969,65.8006,2498483,610.53,305161,37.64,1346282,,,63.432,3669993,111.64,379734,54.31,1415520,11.29,5617700,54.51,364299
2015/6/23,97.18,4541658,54.115,5679984,66.1746,1675189,615.4,394936,38.55,873407,,,62.1336,7588918,113.62,211069,54.96,1826207,11.37,9304005,54.64,568365
2015/6/22,96.87,3893258,53.9,7100665,66.455,2489938,619.25,507524,38.56,991294,,,62.1246,1530706,113.86,346414,53.87,756521,11.435,4029419,55.145,355971
2015/6/19,96.08,8279349,53.93,10609714,66.3471,2045523,615.31,698190,37.85,1124407,,,61.668,1290201,111.91,356814,53.47,1522464,11.37,7725471,54.87,660491
2015/6/18,96.17,5100999,54.11,10712142,66.6419,2011778,606.2,385783,38.2,1177313,,,61.9277,987425,112.57,269211,53.735,802568,11.43,3466980,54.94,470181
2015/6/17,95.22,3940986,53.24,6735294,65.6496,1868040,606.84,455457,37.46,1271615,,,61.1218,853144,110.92,211706,53.44,1176340,11.39,6969899,54.83,522382
2015/6/16,94.63,3094773,52.965,6106529,66.0236,2143781,600.62,384952,37.1,1359651,,,60.8352,812691,110.76,203670,53.59,2016601,11.25,2541253,54.56,725244
2015/6/15,94.3,5861757,52.27,5554964,65.3476,1214268,604.17,442122,37.69,1085018,,,61.0054,1077215,110.81,220212,52.88,875581,11.23,2275263,54.1,1262533
2015/6/12,95.06,3702368,52.63,5236747,65.513,2216314,609.76,431727,38.01,818490,,,60.9875,1528429,112.29,226280,53.1,639537,11.3,2602137,54.37,1624043
2015/6/11,95.59,4203867,52.49,6030167,65.6712,1187050,605.86,242454,38.45,777422,,,60.0383,997786,111.93,255333,52.98,1085615,11.23,5966311,53.78,460239
2015/6/10,95.3,4828577,52.69,8003611,65.8654,1818107,608.67,224765,37.99,965781,,,59.9488,1495598,112.39,310890,52.86,1305543,11.28,3297906,53.42,600316
2015/6/9,94.73,7770880,51.54,5034038,65.1391,1713590,605.79,339662,37.87,800060,,,58.2116,953849,110.43,355652,52.17,920516,11.235,4507982,52.81,334186
2015/6/8,95.32,4594648,51.53,6320181,65.0744,2664406,608.12,436989,38.11,1433189,,,58.5698,874258,109.87,443808,52,1063410,11.28,4531707,52.68,590279
2015/6/5,95.54,3959308,52.19,7123248,65.2829,1605773,613.8,793011,39.29,781354,,,58.0594,699427,110,526560,52.47,749419,11.27,7235897,52.91,690679
2015/6/4,96.31,4702848,51.72,6230805,65.0888,2369411,611.57,508517,38.64,672861,,,57.6565,1291053,109.03,580934,52.78,1580257,11.24,12256627,51.87,297639
2015/6/3,96.52,4165709,52.12,5522702,65.8294,4970750,610.89,395333,38.75,650018,,,58.4892,792399,108.99,484846,52.43,1569987,11.47,19922584,52.43,443084
2015/6/2,96.29,4430255,51.73,7877799,64.6214,2161282,610.57,371668,38.8,755165,,,58.2564,1006559,108.87,606391,52.65,776816,11.1,2322320,51.79,380066
2015/6/1,96.22,4919173,52.22,7075082,64.909,2478964,614.9,396218,38.42,945197,,,58.919,777242,109.05,546029,52.75,1445554,11.12,2606462,51.84,646754
2015/5/29,95.93,6439140,51.96,9399112,64.794,3709189,615.52,789125,38.67,1228297,,,58.6862,3597477,108.66,404881,53.36,1381843,11.24,2107587,51.57,423699
2015/5/28,96.48,10204033,51.81,5874382,66.0092,2830427,629.42,893935,38.4,792010,,,58.149,1988798,109.21,367231,52.86,1275560,11.35,1783178,52.27,468919
2015/5/27,98.66,8129531,51.59,6213573,66.1386,3435597,612.5,744773,38.73,692288,,,58.131,1520546,108.65,421005,53,1296623,11.35,1893165,52.41,611113
2015/5/26,98.46,7123129,50.84,7369923,65.8222,3007189,622.16,477475,38.87,852655,,,57.4684,798810,108.56,324161,52.88,1272957,11.35,2331144,51.75,565526
2015/5/22,98.99,4559491,51.48,5857672,65.8222,5634948,626.44,550725,39.84,1216160,,,57.9788,734281,109.03,190258,52.82,1168828,11.36,2447867,52.27,639934
2015/5/21,99.28,4730442,51.33,5084042,67.1884,3386272,633.36,438761,40.47,684316,,,57.8177,814040,110.07,168813,53.14,895024,11.575,1723775,52.41,511213
2015/5/20,100.11,6185077,51.03,5644662,68.2239,3546172,628.24,520150,41.07,723452,,,57.6475,729038,110.41,178845,53.26,1794498,11.57,4900013,52.3,572297
2015/5/19,100.68,10809150,51.42,6976052,67.814,4775305,636.75,380069,41.23,616075,,,58.3191,1177180,110.55,256279,53.47,1025227,11.38,1807681,52.39,654881
2015/5/18,98.02,4100835,51.18,8999761,67.2963,3683237,636.1,404073,40.82,559302,,,57.3699,613576,111.09,287847,53.29,1682011,11.37,2613125,51.82,561024
2015/5/15,98.04,7607217,50.8,6016694,67.5623,6214035,632.37,437968,42.14,551465,,,57.2446,657504,110.34,246885,52.61,2376324,11.21,1519924,51.39,531064
2015/5/14,97.71,4743954,50.555,7339742,64.7293,2004069,634.53,360817,41.6,697068,,,56.761,946894,109.91,290016,52.33,1439238,11.21,1837577,51.08,752256
2015/5/13,97.35,6526893,49.59,4927094,64.643,1686174,635.32,326285,40.95,517070,,,56.1969,1465518,108.68,227803,51.23,993695,11.135,2418548,50.26,470110
2015/5/12,97.95,4848072,49.71,5868552,64.9953,2885205,635.55,290573,40.63,537475,,,57.0207,851465,109.06,528660,51.705,1408800,11.15,3203597,50.16,452912
2015/5/11,97.51,4123700,49.5,5047180,64.5279,4358629,635.67,416599,40.83,539532,,,57.4505,1292597,109.84,350190,51.4,1358751,11.1,2996121,50.47,414391
2015/5/8,98.23,7543054,49.78,6039840,64.6286,4865334,633.82,443517,41.16,792669,,,57.2714,1200552,109.13,363694,50.79,1499135,11.08,3688416,50.69,908876
2015/5/7,96.78,5019232,49.35,5681417,64.8084,3362708,628.82,318835,41.11,1109108,,,56.4745,1575230,107.93,348709,50.64,1673163,11.2,6082690,50.96,681534
2015/5/6,96.39,6614471,48.93,8033489,64.1468,2945213,627.23,518877,40.7,1012301,,,55.1941,1386916,106.13,343236,50.48,2267788,11.185,12867121,50.04,517393
2015/5/5,96.13,7637026,49.405,10691207,64.7077,4903400,625.67,421080,41.12,1565012,,,55.2925,1521850,105.71,493577,51.22,2071843,10.43,8527075,49.79,686205
2015/5/4,96.13,8426262,50.445,7493420,65.4411,10154537,633.57,318622,42.15,1121790,,,56.573,1128167,107.93,410392,51.99,2137283,10.47,4392440,50.25,432113
2015/5/1,97.8,6280298,50.29,5916509,66.0811,17140749,634,523670,41.37,1397381,,,57.2983,1112750,108.34,350678,52.43,1592779,10.15,2750531,50.56,742686
2015/4/30,96.55,8300290,49.58,8492048,61.8099,2579694,621.34,563440,40.78,1452791,,,57.1013,1476412,107.85,429971,52.11,2063514,10.12,3717593,50.13,1275099
2015/4/29,97.02,5697231,50.65,7161992,62.0184,2875603,630.07,789415,42.26,1136184,,,57.6923,1785016,109.39,517122,52.41,2222344,10.35,3081793,51.42,1192951
2015/4/28,96.83,4357419,50.61,8882901,62.4427,3022558,639.58,634716,42.42,1527444,,,59.4294,947650,111.79,496522,52.65,4855801,10.58,2326741,52.91,1180612
2015/4/27,96.44,7282677,50.87,11222608,62.2773,3896333,643.75,759807,40.59,2885011,,,59.0444,1221573,110.25,786599,53.5,15747292,10.5,2391008,52.53,1125802
2015/4/24,98.74,7741339,51.84,22284881,62.6296,7618340,637.5,793655,41.57,1403396,,,60.0025,1264466,113.96,1178338,54.03,9589701,10.71,2774583,52.98,1049318
2015/4/23,97,6336484,49.43,15866051,60.4509,4539012,635.6,1094338,41.24,1231494,,,58.928,1746056,109.23,2411458,51.51,6439280,10.61,3144018,52.42,3042469
2015/4/22,97.84,19254300,48.335,7248119,60.4293,12845816,641.23,3776595,39.36,2207283,,,58.3818,1074723,99.8,607990,47.72,2537957,10.44,3195041,50.05,2256896
2015/4/21,94.87,5981687,48.37,6213360,58.1355,4716563,692.52,1883305,38.69,1602623,,,58.4624,1354987,99.4,270356,47.51,1387256,10.44,3329321,49.21,831474
2015/4/20,96.18,4382441,47.97,4868425,58.3081,2938369,686.93,435759,38.15,753081,,,58.3997,1378624,99.66,292024,47.72,1066244,10.53,2233115,48.8,791662
2015/4/17,94.88,6933576,47.62,7539865,57.3446,4114607,683.95,519617,38.5,589095,,,58.149,1672063,99.24,298301,48,1108628,10.4,1801308,48.65,773703
2015/4/16,95.63,5071657,48.245,5312499,57.1576,3001220,681.55,340688,39.3,881095,,,59.4831,1313347,100.43,559140,48.11,1370431,10.52,2142573,48.7,846332
2015/4/15,96.44,6604429,48.14,5162169,57.2367,2674615,677.6,363695,38.99,907960,,,60.0383,1184583,98.36,522264,48,2078345,10.53,2435735,48.37,647596
2015/4/14,97.58,4961149,48.3,5952424,57.2511,2829964,677.85,438126,38.97,561500,,,60.7994,1372380,98.49,554162,48.28,2127150,10.56,3475412,48.61,446732
2015/4/13,97.44,5197891,48.5,8171030,58.0421,4330872,683.73,514403,39,607485,,,61.4262,1306099,100.2,320178,49.39,1359273,10.72,1819007,48.79,328375
2015/4/10,97.8,5937847,48.17,6643106,57.5387,2441140,683.02,1194413,38.98,283082,,,61.5874,2211414,100.5,434655,49.26,1531776,10.72,2555395,49.12,437682
2015/4/9,96.55,4790037,47.96,7109621,56.7478,3968367,651.72,375408,38.59,513242,,,60.1547,2235976,99.2,602267,49.11,1560774,10.74,2437519,48.86,546448
2015/4/8,96.85,4445210,47.615,6827888,56.3019,3147115,654.55,549697,38.88,396531,,,60.4323,1612744,100.29,521195,48.37,868580,10.805,5454737,49.35,555771
2015/4/7,96.35,4443683,47.035,5354670,56.2948,4351776,658.46,323754,38.94,718447,,,59.3309,2481756,99.39,377625,47.98,1163617,10.75,5958321,48.1,663942
2015/4/6,96.28,4501296,47.26,6058894,57.3302,2503131,660.02,284243,39.21,445709,,,59.5906,1361997,100.81,499173,47.71,742095,11,3103457,48.4,665085
2015/4/2,95.83,6614276,47.195,8863018,57.3733,3546970,652.39,308047,38.96,952897,,,60.3965,1979925,100.99,241203,47.32,948724,10.93,2019630,48.8,490733
2015/4/1,96.29,7484752,46.51,14125350,56.6902,2708180,652.53,404976,38.38,2258735,,,60.4144,1827194,100.5,324470,47.15,1300996,10.85,2396163,49.09,444916
2015/3/31,97.44,5616991,47.35,8717754,56.6039,2395403,650.54,332207,38.41,1275342,,,62.0888,1998405,100.55,323576,47.56,1122733,10.9,5901234,49.33,585378
2015/3/30,97.88,4074543,47.99,6830270,57.1001,2014523,655.36,419919,39.12,1061693,,,62.1605,1144980,102.55,267426,47.6,1005612,11.14,2869298,49.47,565727
2015/3/27,96.96,4642382,47.535,7993350,56.3091,1947760,662.72,286705,38.79,1244141,,,61.8292,1567649,101.05,287868,47.5,835075,10.88,2639646,48.79,570389
2015/3/26,97.64,10445795,47.54,10344304,56.4817,2592727,658.82,370439,38.68,1243500,,,61.1218,1796538,100.54,260068,47.87,1334279,10.7,2640354,48.31,542985
2015/3/25,98.14,6030541,47.885,9907170,56.9131,3450343,665.97,370839,38.76,1157426,,,61.5247,2432541,101.11,213141,47.84,1164754,10.76,5399597,48.56,397470
2015/3/24,99.36,7549944,48.9575,7718488,57.6466,4553125,680.81,331964,39.3,811718,,,62.438,2263629,104.09,376066,48.26,738761,11.22,2861345,49.32,596255
2015/3/23,98.62,9232037,48.685,7985986,56.9994,3454610,687.34,279998,38.51,542234,,,61.9814,3743134,104.02,255855,48.19,1033197,11.19,2431771,49.5,715189
2015/3/20,97.05,10014005,48.73,17360612,56.9563,6976084,686.65,457284,38.97,1273323,,,59.7697,6176494,104.63,696549,48.15,1518128,11.18,3732224,49.11,723068
2015/3/19,95.98,3615389,48.88,22020618,56.6183,3082524,680.67,390698,39.84,803730,,,58.0863,1893503,103.77,292248,48.25,1217298,11,1455023,48.82,455428
2015/3/18,97,5830963,47.92,15429928,56.7621,2671938,673.28,476882,39.65,715389,,,58.3728,2020470,102.17,362107,48.49,1546061,11.05,2905960,48.63,568034
2015/3/17,96.17,4530709,47.1925,5508796,55.9856,2845349,672,305635,39.62,395222,,,58.6683,1526329,102.15,314702,47.87,1125143,11.05,2588353,49.17,611255
2015/3/16,97.15,4772244,47.0225,6772606,56.2228,3173792,678.88,275025,39.45,894766,,,58.1221,1752271,101.53,314649,47.67,959649,10.83,2147568,48.67,381723
2015/3/13,96.35,5152750,46.645,5835252,55.7339,2624071,674.51,359380,38.96,582047,,,56.5014,1050975,99.72,212605,47.52,1116471,10.86,2656524,48.39,445929
2015/3/12,96.25,8765071,46.69,7295344,55.9712,2891923,670.39,277180,39.69,727585,,,56.8864,1372352,100.72,483599,47.1,1282493,11.04,2349408,48.76,598474
2015/3/11,94.96,9391099,45.71,8185894,55.0076,4676315,660.77,351071,39.33,592836,,,55.2657,1016774,98.16,490045,46.765,2004062,10.82,3523791,47.32,650154
2015/3/10,96.29,7838923,46.09,6076984,55.9999,3186292,654.74,240895,39.74,757964,,,55.9373,1217121,99.03,581583,46.7,1209407,10.745,2295946,47.56,761471
2015/3/9,97.71,8460337,46.52,5984880,57.1217,2374962,660.34,321824,40.52,639879,,,56.7342,651342,101.36,320015,46.6,1489075,10.925,1759583,47.64,667853
2015/3/6,97.13,9677859,46.1075,6814414,56.9203,4217629,658.68,381628,41.15,662653,,,56.1522,1246285,100.87,353788,46.09,1353255,10.84,1803570,47.19,941276
2015/3/5,99.11,9438793,46.815,5848750,57.8982,3352462,670.49,249801,42.26,1514793,,,57.4953,1087578,103.38,303600,46.49,1725977,11.04,1579362,48.01,984030
2015/3/4,100.25,9179359,46.53,7774534,57.5819,7731275,664.16,305994,42.54,1437728,,,56.3133,946432,103.28,347959,45.41,1376931,11.02,1933627,48.08,754768
2015/3/3,99.74,8149729,47,7578374,58.6101,4648403,668.43,264424,43.62,1150821,,,57.2088,555528,102.83,476146,46.105,1763808,11,6113408,48.71,701533
2015/3/2,100,12363347,47.1125,7947018,58.8186,3377534,670.86,398903,44.67,1926628,,,57.6475,932627,104.44,591838,46.79,2248994,11.25,4716975,48.7,1490489
2015/2/27,98.9,7552453,46.7425,8658404,58.3225,9799943,664.97,441101,44.23,2284381,,,57.3073,1112459,101.53,667753,46.86,2069566,11.09,4012115,47.52,1108145
2015/2/26,99.51,16098778,47.275,6816352,57.0857,3830458,670.29,282188,43.48,1934038,,,57.6475,882714,104,364569,47.26,3104810,11.31,2632135,48.65,700295
2015/2/25,98.66,16751573,47.13,8120660,56.7765,2743981,675.52,379171,42.69,781801,,,57.5938,1021859,103.93,661630,46.47,1443401,11.39,2426598,49.18,660295
2015/2/24,94.98,5643590,46.725,6337888,55.9856,2014287,667.91,235844,42.33,1221970,,,56.8864,1273880,103.53,1615811,45.94,1785035,11.35,1826048,49.46,773803
2015/2/23,94.31,5681950,46.79,5854572,55.6836,2297084,671.17,215925,41.63,706613,,,56.0447,705360,104.5,923472,45.94,1500215,11.29,1585076,49.43,625259
2015/2/20,94.19,8154994,46.755,6462662,55.7483,3899164,674,266295,41.59,834387,,,55.7044,997375,102.5,461541,46.38,1401873,11.26,1881889,49.22,806226
2015/2/19,94.19,6312190,46.585,6109176,55.1299,2348553,673.28,295830,40.8,827274,,,55.8029,1154435,101.75,300955,46.7,1281721,11.27,2413119,49.41,1633386
2015/2/18,94.58,5617510,46.5,6541986,55.0076,3457093,674.57,297043,40.97,1974946,,,55.6686,1515687,101.85,366237,46.94,955670,11.27,3007840,49,929019
2015/2/17,94.35,5971992,46.015,6386900,54.6841,3916634,670.93,280735,42.12,2550425,,,55.0239,995321,100.67,202042,47,1040917,11.04,1995826,48.24,1251243
2015/2/13,95.65,6762195,45.79,6109522,53.7062,2636358,674.89,377436,38.74,1618068,,,55.2657,671068,100,228795,46.7,1283464,10.95,3214972,48.22,1575234
