Security,MCD US Equity ,,SBUX US Equity,,YUM US Equity,,CMG US Equity,,QSR US Equity,,YUMC US Equity,,DRI  US Equity,,DPZ  US Equity,,DNKN  US Equity,,WEN US Equity,,CAKE US Equity,
Start Date,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,2011/10/1,,40817,
End Date,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,2020/6/19,,44001,
Period,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,
Currency,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,
,,,,,,,,,,,,,,,,,,,,,,
Date,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME
2013/6/11,98.23,4814957,32.71,7897496,51.5993,3459012,364.75,248759,,,,,48.5589,966122,59.8,614877,41.6,875534,5.95,2368873,41.58,377844
2013/6/10,99.53,5719391,33.055,12413740,52.1099,3975062,364.57,355421,,,,,48.944,891248,60.72,527817,41.5,919688,5.98,4251473,41.61,358302
2013/6/7,98.28,5036706,32.52,13753698,52.8649,5623094,365.8,560453,,,,,48.5589,922499,60.53,500476,41.42,761224,5.87,3459213,41.46,563258
2013/6/6,96.68,5818436,31.51,8625308,51.1391,7428715,359.03,230353,,,,,47.7352,928873,59.45,1010977,40.94,822071,5.72,6051109,40.69,412979
2013/6/5,96.42,5394802,31.17,8408738,48.9173,2022998,353.03,288081,,,,,47.2248,1069757,58.35,848906,40.31,922648,5.59,8001859,40.34,485678
2013/6/4,98.37,4902970,31.665,8622564,49.5141,2600348,358.42,425949,,,,,47.7083,1484584,60.18,1271115,41.31,1722912,5.83,5740623,40.43,701836
2013/6/3,97.96,4224507,31.73,11417830,49.6219,2926190,358.84,472438,,,,,47.0636,879435,59.72,1334955,40.06,1125804,5.87,4551005,40.08,620009
2013/5/31,96.57,5445869,31.57,10206124,48.7159,2453564,361,323187,,,,,46.3831,984719,59.27,1303786,39.6,819903,5.95,3160681,39.92,459851
2013/5/30,97.07,8029026,31.735,8800906,49.3271,2014966,369.85,195480,,,,,46.992,754907,59.79,10295587,39.95,923504,6.04,1884527,40.1,359143
2013/5/29,99.05,8774680,31.815,7562250,50.003,2141376,369.79,201888,,,,,47.377,933416,59.28,541507,40.07,887278,6.05,2711001,40.32,267170
2013/5/28,101.24,14083839,32.13,7438516,50.3554,1886389,370.61,400587,,,,,47.7531,744883,59.66,657709,40.57,966445,6.11,3964955,40.71,469304
2013/5/24,100.29,13161055,31.68,6507242,49.7657,1809747,368.27,270845,,,,,47.3054,1001685,58.72,662811,40.5,472581,6.08,6994207,40.18,285773
2013/5/23,101.03,13743083,31.76,8258548,49.8305,2394385,368.45,378234,,,,,47.6546,709990,59.21,1930712,40.86,1003994,6,3325283,40.41,556126
2013/5/22,101.74,4649625,32.075,11014786,50.2116,2181388,371.05,349276,,,,,47.1173,1207227,56.61,381950,40.98,967998,6.02,2976303,40.15,566859
2013/5/21,102.14,4079810,32.125,6588946,50.4632,2609385,377.43,281816,,,,,48.0396,829174,56.95,449385,41.4,493557,6.06,2197660,40.72,273655
2013/5/20,101.54,2233047,31.915,7211990,50.6646,2660071,376.87,302087,,,,,47.8605,602068,56.72,422894,41.56,1120240,6.06,1954514,40.81,473092
2013/5/17,101.54,4017259,32.065,6934282,50.4488,2825602,375.16,288345,,,,,47.8426,1121584,57.57,432273,42.04,684099,6.04,2820293,40.75,413932
2013/5/16,101.12,4252920,31.775,6661236,50.0677,2783720,372.08,384406,,,,,47.2606,1470651,56.96,790211,42.11,1038130,6.04,4861135,40.61,411872
2013/5/15,101.95,3403959,32.035,9654546,50.2763,3340461,374.97,485204,,,,,48.2724,996334,57.64,744770,42.15,1612543,6.06,5105656,40.74,300836
2013/5/14,101.2,3811530,31.76,7510780,50.4417,2739137,375.65,496343,,,,,48.1381,901279,59,335096,41.4,836827,5.91,7655070,40.73,474517
2013/5/13,100.38,3154049,31.41,5906892,49.5572,4759148,367.51,241815,,,,,47.6008,940493,58.25,579090,40.77,414827,5.79,3872346,40.29,435121
2013/5/10,100.2,5037306,31.5485,7485700,50.5927,3287167,370.01,326412,,,,,47.959,682703,58.02,632895,40.78,440328,5.78,4816651,40.4,324513
